* Block Type = 96fast																							
* Chemistry = SYBR_GREEN																							
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Falk\Neustadt_2020\Abas_Neustadt_2020_leaf.eds																							
* Experiment Run End Time = 2022-01-05 18:10:54 PM CET																							
* Instrument Type = sds7500fast																							
* Passive Reference = ROX																							
																							
[Results]																							
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	HIGHSD	NOAMP	EXPFAIL
A1	N1K1L	Abas	UNKNOWN	SYBR	None	31.9092	31.8719	0.4372	0	0	0	false	0.25	true	3	26	87.1				N	N	N
A2	N1K2L	Abas	UNKNOWN	SYBR	None	28.8449	28.8951	0.0773	0	0	0	false	0.25	true	3	23	87.8				N	N	N
A3	N1K3L	Abas	UNKNOWN	SYBR	None	29.8241	29.6665	0.4532	0	0	0	false	0.25	true	3	24	87.8				N	N	N
A4	N1S1L	Abas	UNKNOWN	SYBR	None	32.232	33.2113	1.0275	0	0	0	false	0.25	true	3	27	87.8				Y	N	N
A5	N1S2L	Abas	UNKNOWN	SYBR	None	32.2001	31.734	0.405	0	0	0	false	0.25	true	3	27	87.8				N	N	N
A6	N1S3L	Abas	UNKNOWN	SYBR	None	29.3871	29.6724	0.2572	0	0	0	false	0.25	true	3	24	87.8				N	N	N
A7	N1Cu1L	Abas	UNKNOWN	SYBR	None	29.9455	30.0734	0.446	0	0	0	false	0.25	true	3	24	87.8				N	N	N
A8	N1Cu2L	Abas	UNKNOWN	SYBR	None	32.6106	33.133	0.4568	0	0	0	false	0.25	true	3	27	87.8				N	N	N
A9	N1Cu3L	Abas	UNKNOWN	SYBR	None	31.0286	31.1104	0.3995	0	0	0	false	0.25	true	3	26	87.8				N	N	N
A10																					N	N	N
A11																					N	N	N
A12																					N	N	N
B1	N1K1L	Abas	UNKNOWN	SYBR	None	31.4173	31.8719	0.4372	0	0	0	false	0.25	true	3	27	87.1				N	N	N
B2	N1K2L	Abas	UNKNOWN	SYBR	None	28.984	28.8951	0.0773	0	0	0	false	0.25	true	3	23	87.8				N	N	N
B3	N1K3L	Abas	UNKNOWN	SYBR	None	30.0197	29.6665	0.4532	0	0	0	false	0.25	true	3	25	87.8				N	N	N
B4	N1S1L	Abas	UNKNOWN	SYBR	None	34.281	33.2113	1.0275	0	0	0	false	0.25	true	3	29	87.8				Y	N	N
B5	N1S2L	Abas	UNKNOWN	SYBR	None	31.4677	31.734	0.405	0	0	0	false	0.25	true	3	26	87.8				N	N	N
B6	N1S3L	Abas	UNKNOWN	SYBR	None	29.8863	29.6724	0.2572	0	0	0	false	0.25	true	3	25	87.8				N	N	N
B7	N1Cu1L	Abas	UNKNOWN	SYBR	None	30.5694	30.0734	0.446	0	0	0	false	0.25	true	3	25	87.8				N	N	N
