* Block Type = 96fast																						
* Chemistry = SYBR_GREEN																						
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Falk\Neustadt_2020\Abas_Neustadt_2020_wash.eds																						
* Experiment Run End Time = 2022-01-06 12:09:31 PM CET																						
* Instrument Type = sds7500fast																						
* Passive Reference = ROX																						
																						
[Results]																						
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	NOISE
A1	N1K1W	Abas	UNKNOWN	SYBR	None	27.9966	28.0765	0.2747	0	0	0	false	0.25	true	3	23	87.8				N	N
A2	N1K2W	Abas	UNKNOWN	SYBR	None	25.4154	25.8029	0.3411	0.0001	0.0001	0	false	0.25	true	3	20	87.8				N	N
A3	N1K3W	Abas	UNKNOWN	SYBR	None	26.5249	26.8569	0.333	0	0	0	false	0.25	true	3	20	87.8				N	N
A4	N1S1W	Abas	UNKNOWN	SYBR	None	26.6945	26.8155	0.1367	0	0	0	false	0.25	true	3	20	87.8				N	N
A5	N1S2W	Abas	UNKNOWN	SYBR	None	27.352	27.7088	0.4197	0	0	0	false	0.25	true	3	22	87.8				N	N
A6	N1S3W	Abas	UNKNOWN	SYBR	None	27.3847	27.4457	0.0588	0	0	0	false	0.25	true	3	23	87.8				N	N
A7	N1Cu1W	Abas	UNKNOWN	SYBR	None	26.8389	27.1157	0.281	0	0	0	false	0.25	true	3	21	87.8				N	N
A8	N1Cu2W	Abas	UNKNOWN	SYBR	None	28.2027	27.9165	0.25	0	0	0	false	0.25	true	3	22	87.8				N	N
A9	N1Cu3W	Abas	UNKNOWN	SYBR	None	26.3806	26.4596	0.2158	0.0001	0	0	false	0.25	true	3	20	87.8				N	N
A10																					N	N
A11																					N	N
A12																					N	N
B1	N1K1W	Abas	UNKNOWN	SYBR	None	27.8505	28.0765	0.2747	0	0	0	false	0.25	true	3	23	87.8				N	N
B2	N1K2W	Abas	UNKNOWN	SYBR	None	25.9357	25.8029	0.3411	0.0001	0.0001	0	false	0.25	true	3	20	87.8				N	N
B3	N1K3W	Abas	UNKNOWN	SYBR	None	26.8548	26.8569	0.333	0	0	0	false	0.25	true	3	22	87.8				N	N
B4	N1S1W	Abas	UNKNOWN	SYBR	None	26.9638	26.8155	0.1367	0	0	0	false	0.25	true	3	22	87.8				N	N
B5	N1S2W	Abas	UNKNOWN	SYBR	None	27.6031	27.7088	0.4197	0	0	0	false	0.25	true	3	22	87.8				N	N
B6	N1S3W	Abas	UNKNOWN	SYBR	None	27.5021	27.4457	0.0588	0	0	0	false	0.25	true	3	22	87.8				N	N
B7	N1Cu1W	Abas	UNKNOWN	SYBR	None	27.1076	27.1157	0.281	0	0	0	false	0.25	true	3	22	87.8				N	N
B8	N1Cu2W	Abas	UNKNOWN	SYBR	None	27.8067	27.9165	0.25	0	0	0	false	0.25	true	3	22	87.8				N	N
B9	N1Cu3W	Abas	UNKNOWN	SYBR	None	26.2945	26.4596	0.2158	0.0001	0	0	false	0.25	true	3	21	87.8				N	N
B10																					N	N
B11																					N	N
B12																					N	N
C1	N1K1W	Abas	UNKNOWN	SYBR	None	28.3823	28.0765	0.2747	0	0	0	false	0.25	true	3	23	87.8				N	N
C2	N1K2W	Abas	UNKNOWN	SYBR	None	26.0576	25.8029	0.3411	0.0001	0.0001	0	false	0.25	true	3	20	87.8				N	N
C3	N1K3W	Abas	UNKNOWN	SYBR	None	27.1909	26.8569	0.333	0	0	0	false	0.25	true	3	22	87.8				N	N
C4	N1S1W	Abas	UNKNOWN	SYBR	None	26.7881	26.8155	0.1367	0	0	0	false	0.25	true	3	20	87.8				N	N
C5	N1S2W	Abas	UNKNOWN	SYBR	None	28.1712	27.7088	0.4197	0	0	0	false	0.25	true	3	24	87.8				N	N
C6	N1S3W	Abas	UNKNOWN	SYBR	None	27.4502	27.4457	0.0588	0	0	0	false	0.25	true	3	22	87.8				N	N
C7	N1Cu1W	Abas	UNKNOWN	SYBR	None	27.4006	27.1157	0.281	0	0	0	false	0.25	true	3	22	87.8				N	N
C8	N1Cu2W	Abas	UNKNOWN	SYBR	None	27.7402	27.9165	0.25	0	0	0	false	0.25	true	3	22	87.8				N	N
