* Block Type = 96fast																								
* Chemistry = SYBR_GREEN																								
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Falk\Neustadt_2020\Enig_Neustadt_2020_wash.eds																								
* Experiment Run End Time = 2022-01-06 21:34:48 PM CET																								
* Instrument Type = sds7500fast																								
* Passive Reference = ROX																								
																								
[Results]																								
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	HIGHSD	NOAMP	OUTLIERRG	EXPFAIL
A1	N1K1W	Enig	UNKNOWN	SYBR	None	26.0461	26.0994	0.0519	0.0001	0.0001	0	false	0.25	true	3	21	82.75				N	N	N	N
A2	N1K2W	Enig	UNKNOWN	SYBR	None	27.2598	27.1539	0.0994	0.0001	0.0001	0	false	0.25	true	3	22	82.5				N	N	N	N
A3	N1K3W	Enig	UNKNOWN	SYBR	None	26.9834	27.2925	0.5192	0.0001	0.0001	0	false	0.25	true	3	22	82.75				Y	N	N	N
A4	N1S1W	Enig	UNKNOWN	SYBR	None	24.3789	24.5198	0.123	0.0003	0.0003	0	false	0.25	true	3	19	83				N	N	N	N
A5	N1S2W	Enig	UNKNOWN	SYBR	None	25.5864	25.7076	0.1384	0.0002	0.0002	0	false	0.25	true	3	20	83.25				N	N	N	N
A6	N1S3W	Enig	UNKNOWN	SYBR	None	27.5326	27.5677	0.0628	0.0001	0	0	false	0.25	true	3	22	83.25				N	N	N	N
A7	N1Cu1W	Enig	UNKNOWN	SYBR	None	24.9831	25.0824	0.1181	0.0002	0.0002	0	false	0.25	true	3	19	83				N	N	N	N
A8	N1Cu2W	Enig	UNKNOWN	SYBR	None	25.1924	25.3363	0.1564	0.0002	0.0002	0	false	0.25	true	3	20	83				N	N	N	N
A9	N1Cu3W	Enig	UNKNOWN	SYBR	None	25.0475	25.1503	0.1807	0.0002	0.0002	0	false	0.25	true	3	20	83.25				N	N	N	N
A10																					N	N	N	N
A11																					N	N	N	N
A12																					N	N	N	N
B1	N1K1W	Enig	UNKNOWN	SYBR	None	26.1022	26.0994	0.0519	0.0001	0.0001	0	false	0.25	true	3	21	82.5				N	N	N	N
B2	N1K2W	Enig	UNKNOWN	SYBR	None	27.0625	27.1539	0.0994	0.0001	0.0001	0	false	0.25	true	3	21	83				N	N	N	N
B3	N1K3W	Enig	UNKNOWN	SYBR	None	27.0022	27.2925	0.5192	0.0001	0.0001	0	false	0.25	true	3	22	83.25				Y	N	N	N
B4	N1S1W	Enig	UNKNOWN	SYBR	None	24.6055	24.5198	0.123	0.0003	0.0003	0	false	0.25	true	3	19	83.25				N	N	N	N
B5	N1S2W	Enig	UNKNOWN	SYBR	None	25.678	25.7076	0.1384	0.0002	0.0002	0	false	0.25	true	3	20	83				N	N	N	N
B6	N1S3W	Enig	UNKNOWN	SYBR	None	27.5302	27.5677	0.0628	0.0001	0	0	false	0.25	true	3	22	83.25				N	N	N	N
B7	N1Cu1W	Enig	UNKNOWN	SYBR	None	25.0511	25.0824	0.1181	0.0002	0.0002	0	false	0.25	true	3	20	83				N	N	N	N
B8	N1Cu2W	Enig	UNKNOWN	SYBR	None	25.5028	25.3363	0.1564	0.0002	0.0002	0	false	0.25	true	3	20	83.25				N	N	N	N
B9	N1Cu3W	Enig	UNKNOWN	SYBR	None	25.0443	25.1503	0.1807	0.0002	0.0002	0	false	0.25	true	3	20	83				N	N	N	N
B10																					N	N	N	N
B11																					N	N	N	N
B12																					N	N	N	N
C1	N1K1W	Enig	UNKNOWN	SYBR	None	26.1498	26.0994	0.0519	0.0001	0.0001	0	false	0.25	true	3	20	83.25				N	N	N	N
