* Block Type = 96fast																						
* Chemistry = SYBR_GREEN																						
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Falk\Neustadt_2020\ITS1_Neustadt_2020_leaf.eds																						
* Experiment Run End Time = 2022-01-06 17:44:48 PM CET																						
* Instrument Type = sds7500fast																						
* Passive Reference = ROX																						
																						
[Results]																						
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	NOAMP	EXPFAIL
A1	N1K1L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	25.26	25.3546	0.0917	0	0	0	false	0.25	true	3	21	85.3				N	N
A2	N1K2L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	25.2407	25.1741	0.0997	0	0.0001	0	false	0.25	true	3	19	86.6				N	N
A3	N1K3L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	24.1111	24.2758	0.1622	0.0001	0.0001	0	false	0.25	true	3	19	91.85				N	N
A4	N1S1L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	26.0335	25.8566	0.155	0	0	0	false	0.25	true	3	21	87.1				N	N
A5	N1S2L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	25.7199	25.6585	0.0955	0	0	0	false	0.25	true	3	20	87.1				N	N
A6	N1S3L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	25.5175	25.733	0.2802	0	0	0	false	0.25	true	3	20	87.1				N	N
A7	N1Cu1L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	23.9063	23.8625	0.0905	0.0001	0.0001	0	false	0.25	true	3	18	85.3				N	N
A8	N1Cu2L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	27.9403	28.3546	0.3773	0	0	0	false	0.25	true	3	22	87.1				N	N
A9	N1Cu3L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	25.157	25.4167	0.2411	0.0001	0	0	false	0.25	true	3	19	87.1				N	N
A10																					N	N
A11																					N	N
A12																					N	N
B1	N1K1L	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	25.3609	25.3546	0.0917	0	0	0	false	0.25	true	3	20	85.3				N	N
