* Block Type = 96fast																							
* Chemistry = SYBR_GREEN																							
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Falk\Neustadt_2020\ITS1_Neustadt_2020_wash.eds																							
* Experiment Run End Time = 2022-01-05 15:30:40 PM CET																							
* Instrument Type = sds7500fast																							
* Passive Reference = ROX																							
																							
[Results]																							
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	HIGHSD	EXPFAIL
A1	N1K1W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.7557	21.8914	0.1189	0.0005	0.0005	0	false	0.25	true	3	16	86				N	N	N
A2	N1K2W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.8615	22.0002	0.1369	0.0005	0.0004	0	false	0.25	true	3	17	86				N	N	N
A3	N1K3W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	22.3571	22.4866	0.1312	0.0004	0.0003	0	false	0.25	true	3	16	87				N	N	N
A4	N1S1W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	20.8655	20.883	0.0228	0.001	0.0009	0	false	0.25	true	3	16	87				N	N	N
A5	N1S2W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.9435	21.9477	0.0096	0.0005	0.0005	0	false	0.25	true	3	17	87				N	N	N
A6	N1S3W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	22.8108	22.8504	0.0446	0.0003	0.0003	0	false	0.25	true	3	17	87				N	N	N
A7	N1Cu1W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.9501	21.939	0.0564	0.0005	0.0005	0	false	0.25	true	3	17	87				N	N	N
A8	N1Cu2W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.6448	21.628	0.122	0.0006	0.0006	0	false	0.25	true	3	16	87				N	N	N
A9	N1Cu3W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.2642	21.2931	0.062	0.0007	0.0007	0	false	0.25	true	3	16	87				N	N	N
A10																					N	N	N
A11																					N	N	N
A12																					N	N	N
B1	N1K1W	ITS1catta/ITS2ngs	UNKNOWN	SYBR	None	21.9775	21.8914	0.1189	0.0005	0.0005	0	false	0.25	true	3	17	86				N	N	N
